Country,Year,Series,Value
Africa,2014,Primary energy production (petajoules),45152
Africa,2015,Primary energy production (petajoules),45242
Africa,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-12213
Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-13034
Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-16304
Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-20474
Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-19455
Africa,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-15069
Africa,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-13414
Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-13162
Africa,1990,Changes in stocks (petajoules),-10
Africa,1995,Changes in stocks (petajoules),291
Africa,2000,Changes in stocks (petajoules),31
Africa,2005,Changes in stocks (petajoules),10
Africa,2010,Changes in stocks (petajoules),-63
Africa,2013,Changes in stocks (petajoules),-47
Africa,2014,Changes in stocks (petajoules),252
Africa,2015,Changes in stocks (petajoules),-43
Africa,1990,Total supply (petajoules),15674
Africa,1995,Total supply (petajoules),18730
Africa,2000,Total supply (petajoules),20849
Africa,2005,Total supply (petajoules),24480
Africa,2010,Total supply (petajoules),28284
Africa,2013,Total supply (petajoules),30511
Africa,2014,Total supply (petajoules),31487
Africa,2015,Total supply (petajoules),32123
Africa,1990,Supply per capita (gigajoules),25
Africa,1995,Supply per capita (gigajoules),26
Africa,2000,Supply per capita (gigajoules),26
Africa,2005,Supply per capita (gigajoules),27
Africa,2010,Supply per capita (gigajoules),27
Africa,2013,Supply per capita (gigajoules),27
Africa,2014,Supply per capita (gigajoules),27
Africa,2015,Supply per capita (gigajoules),27
North America,1990,Primary energy production (petajoules),89464
North America,1995,Primary energy production (petajoules),93298
North America,2000,Primary energy production (petajoules),96207
North America,2005,Primary energy production (petajoules),97911
North America,2010,Primary energy production (petajoules),100215
North America,2013,Primary energy production (petajoules),107868
North America,2014,Primary energy production (petajoules),114238
North America,2015,Primary energy production (petajoules),114073
North America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),7789
North America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),9145
North America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),15610
North America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),20179
North America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),12979
North America,2013,Net imports [Imports - Exports - Bunkers] (petajoules),3474
North America,2014,Net imports [Imports - Exports - Bunkers] (petajoules),1510
North America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1441
North America,1990,Changes in stocks (petajoules),1783
North America,1995,Changes in stocks (petajoules),-922
North America,2000,Changes in stocks (petajoules),-2221
North America,2005,Changes in stocks (petajoules),-124
North America,2010,Changes in stocks (petajoules),-602
North America,2013,Changes in stocks (petajoules),-1541
North America,2014,Changes in stocks (petajoules),903
North America,2015,Changes in stocks (petajoules),2067
North America,1990,Total supply (petajoules),95470
North America,1995,Total supply (petajoules),103366
North America,2000,Total supply (petajoules),114038
North America,2005,Total supply (petajoules),118213
North America,2010,Total supply (petajoules),113796
North America,2013,Total supply (petajoules),112882
North America,2014,Total supply (petajoules),114844
North America,2015,Total supply (petajoules),113447
North America,1990,Supply per capita (gigajoules),223
North America,1995,Supply per capita (gigajoules),226
North America,2000,Supply per capita (gigajoules),234
North America,2005,Supply per capita (gigajoules),230
North America,2010,Supply per capita (gigajoules),208
North America,2013,Supply per capita (gigajoules),200
North America,2014,Supply per capita (gigajoules),202
North America,2015,Supply per capita (gigajoules),198
South America,1990,Primary energy production (petajoules),16259
South America,1995,Primary energy production (petajoules),20317
South America,2000,Primary energy production (petajoules),24080
South America,2005,Primary energy production (petajoules),26630
South America,2010,Primary energy production (petajoules),29391
South America,2013,Primary energy production (petajoules),30966
South America,2014,Primary energy production (petajoules),31216
South America,2015,Primary energy production (petajoules),31660
South America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-3752
South America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-5789
South America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-7316
South America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-8057
South America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-7250
South America,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-7213
South America,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-6780
South America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-7861
South America,1990,Changes in stocks (petajoules),86
South America,1995,Changes in stocks (petajoules),-6
South America,2000,Changes in stocks (petajoules),-13
South America,2005,Changes in stocks (petajoules),-323
South America,2010,Changes in stocks (petajoules),-64
South America,2013,Changes in stocks (petajoules),9
South America,2014,Changes in stocks (petajoules),150
South America,2015,Changes in stocks (petajoules),-63
South America,1990,Total supply (petajoules),12420
South America,1995,Total supply (petajoules),14534
South America,2000,Total supply (petajoules),16776
South America,2005,Total supply (petajoules),18897
South America,2010,Total supply (petajoules),22206
South America,2013,Total supply (petajoules),23743
South America,2014,Total supply (petajoules),24284
South America,2015,Total supply (petajoules),23862
South America,1990,Supply per capita (gigajoules),42
South America,1995,Supply per capita (gigajoules),45
South America,2000,Supply per capita (gigajoules),48
South America,2005,Supply per capita (gigajoules),51
South America,2010,Supply per capita (gigajoules),56
South America,2013,Supply per capita (gigajoules),58
South America,2014,Supply per capita (gigajoules),59
South America,2015,Supply per capita (gigajoules),57
Asia,1990,Primary energy production (petajoules),103897
Asia,1995,Primary energy production (petajoules),129663
Asia,2000,Primary energy production (petajoules),145546
Asia,2005,Primary energy production (petajoules),192204
Asia,2010,Primary energy production (petajoules),236026
Asia,2013,Primary energy production (petajoules),257286
Asia,2014,Primary energy production (petajoules),259212
Asia,2015,Primary energy production (petajoules),263383
Asia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-11565
Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-8920
Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-9710
Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-9662
Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),227
Asia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),3458
Asia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),7087
Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7871
Asia,1990,Changes in stocks (petajoules),1712
Asia,1995,Changes in stocks (petajoules),604
Asia,2000,Changes in stocks (petajoules),-739
Asia,2005,Changes in stocks (petajoules),-398
Asia,2010,Changes in stocks (petajoules),1615
Asia,2013,Changes in stocks (petajoules),1779
Asia,2014,Changes in stocks (petajoules),1400
Asia,2015,Changes in stocks (petajoules),130
Asia,1990,Total supply (petajoules),90620
Asia,1995,Total supply (petajoules),120140
Asia,2000,Total supply (petajoules),136575
Asia,2005,Total supply (petajoules),182940
Asia,2010,Total supply (petajoules),234638
Asia,2013,Total supply (petajoules),258965
Asia,2014,Total supply (petajoules),264900
Asia,2015,Total supply (petajoules),271125
Asia,1990,Supply per capita (gigajoules),29
Asia,1995,Supply per capita (gigajoules),35
Asia,2000,Supply per capita (gigajoules),37
Asia,2005,Supply per capita (gigajoules),46
Asia,2010,Supply per capita (gigajoules),56
Asia,2013,Supply per capita (gigajoules),60
Asia,2014,Supply per capita (gigajoules),61
Asia,2015,Supply per capita (gigajoules),62
Europe,1990,Primary energy production (petajoules),112829
Europe,1995,Primary energy production (petajoules),93292
Europe,2000,Primary energy production (petajoules),94623
Europe,2005,Primary energy production (petajoules),102546
Europe,2010,Primary energy production (petajoules),102514
Europe,2013,Primary energy production (petajoules),102582
Europe,2014,Primary energy production (petajoules),100943
Europe,2015,Primary energy production (petajoules),101099
Europe,1990,Net imports [Imports - Exports - Bunkers] (petajoules),15404
Europe,1995,Net imports [Imports - Exports - Bunkers] (petajoules),13521
Europe,2000,Net imports [Imports - Exports - Bunkers] (petajoules),12271
Europe,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10782
Europe,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8107
Europe,2013,Net imports [Imports - Exports - Bunkers] (petajoules),5624
Europe,2014,Net imports [Imports - Exports - Bunkers] (petajoules),4654
Europe,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3836
Europe,1990,Changes in stocks (petajoules),366
Europe,1995,Changes in stocks (petajoules),94
Europe,2000,Changes in stocks (petajoules),245
Europe,2005,Changes in stocks (petajoules),582
Europe,2010,Changes in stocks (petajoules),-1154
Europe,2013,Changes in stocks (petajoules),20
Europe,2014,Changes in stocks (petajoules),452
Europe,2015,Changes in stocks (petajoules),308
Europe,1990,Total supply (petajoules),127865
Europe,1995,Total supply (petajoules),106719
Europe,2000,Total supply (petajoules),106649
Europe,2005,Total supply (petajoules),112746
Europe,2010,Total supply (petajoules),111775
Europe,2013,Total supply (petajoules),108186
Europe,2014,Total supply (petajoules),105145
Europe,2015,Total supply (petajoules),104626
Europe,1990,Supply per capita (gigajoules),118
Europe,1995,Supply per capita (gigajoules),147
Europe,2000,Supply per capita (gigajoules),147
Europe,2005,Supply per capita (gigajoules),154
Europe,2010,Supply per capita (gigajoules),152
Europe,2013,Supply per capita (gigajoules),147
Europe,2014,Supply per capita (gigajoules),142
Europe,2015,Supply per capita (gigajoules),141
Oceania,1990,Primary energy production (petajoules),7314
Oceania,1995,Primary energy production (petajoules),8611
Oceania,2000,Primary energy production (petajoules),10598
Oceania,2005,Primary energy production (petajoules),12214
Oceania,2010,Primary energy production (petajoules),14500
Oceania,2013,Primary energy production (petajoules),15296
Oceania,2014,Primary energy production (petajoules),16244
Oceania,2015,Primary energy production (petajoules),16897
Oceania,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2752
Oceania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3785
Oceania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-5363
Oceania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-6518
Oceania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-7707
Oceania,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-8679
Oceania,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-9728
Oceania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-10320
Oceania,1990,Changes in stocks (petajoules),203
Oceania,1995,Changes in stocks (petajoules),103
Oceania,2000,Changes in stocks (petajoules),-233
Oceania,2005,Changes in stocks (petajoules),-37
Oceania,2010,Changes in stocks (petajoules),280
Oceania,2013,Changes in stocks (petajoules),155
Oceania,2014,Changes in stocks (petajoules),48
Oceania,2015,Changes in stocks (petajoules),71
Oceania,1990,Total supply (petajoules),4358
Oceania,1995,Total supply (petajoules),4723
Oceania,2000,Total supply (petajoules),5468
Oceania,2005,Total supply (petajoules),5731
Oceania,2010,Total supply (petajoules),6511
Oceania,2013,Total supply (petajoules),6463
Oceania,2014,Total supply (petajoules),6469
Oceania,2015,Total supply (petajoules),6506
Oceania,1990,Supply per capita (gigajoules),160
Oceania,1995,Supply per capita (gigajoules),163
Oceania,2000,Supply per capita (gigajoules),176
Oceania,2005,Supply per capita (gigajoules),171
Oceania,2010,Supply per capita (gigajoules),179
Oceania,2013,Supply per capita (gigajoules),169
Oceania,2014,Supply per capita (gigajoules),167
Oceania,2015,Supply per capita (gigajoules),165
Afghanistan,1990,Primary energy production (petajoules),19
Afghanistan,1995,Primary energy production (petajoules),16
Afghanistan,2000,Primary energy production (petajoules),18
Afghanistan,2005,Primary energy production (petajoules),23
Afghanistan,2010,Primary energy production (petajoules),41
Afghanistan,2013,Primary energy production (petajoules),59
Afghanistan,2014,Primary energy production (petajoules),63
Afghanistan,2015,Primary energy production (petajoules),60
Afghanistan,1990,Net imports [Imports - Exports - Bunkers] (petajoules),28
Afghanistan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),13
Afghanistan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),8
Afghanistan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),14
Afghanistan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),96
Afghanistan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),87
Afghanistan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),72
Afghanistan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),85
Afghanistan,1990,Changes in stocks (petajoules),0
Afghanistan,1995,Changes in stocks (petajoules),0
Afghanistan,2000,Changes in stocks (petajoules),0
Afghanistan,1990,Total supply (petajoules),46
Afghanistan,1995,Total supply (petajoules),29
Afghanistan,2000,Total supply (petajoules),25
Afghanistan,2005,Total supply (petajoules),36
Afghanistan,2010,Total supply (petajoules),137
Afghanistan,2013,Total supply (petajoules),145
Afghanistan,2014,Total supply (petajoules),135
Afghanistan,2015,Total supply (petajoules),145
Afghanistan,1990,Supply per capita (gigajoules),4
Afghanistan,1995,Supply per capita (gigajoules),1
Afghanistan,2000,Supply per capita (gigajoules),1
Afghanistan,2005,Supply per capita (gigajoules),1
Afghanistan,2010,Supply per capita (gigajoules),5
Afghanistan,2013,Supply per capita (gigajoules),5
Afghanistan,2014,Supply per capita (gigajoules),4
Afghanistan,2015,Supply per capita (gigajoules),4
Albania,1990,Primary energy production (petajoules),99
Albania,1995,Primary energy production (petajoules),43
Albania,2000,Primary energy production (petajoules),34
Albania,2005,Primary energy production (petajoules),48
Albania,2010,Primary energy production (petajoules),69
Albania,2013,Primary energy production (petajoules),85
Albania,2014,Primary energy production (petajoules),84
Albania,2015,Primary energy production (petajoules),87
Albania,1990,Net imports [Imports - Exports - Bunkers] (petajoules),15
Albania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
Albania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),31
Albania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),43
Albania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),22
Albania,2013,Net imports [Imports - Exports - Bunkers] (petajoules),27
Albania,2014,Net imports [Imports - Exports - Bunkers] (petajoules),33
Albania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),10
Albania,1990,Changes in stocks (petajoules),23
Albania,1995,Changes in stocks (petajoules),0
Albania,2005,Changes in stocks (petajoules),0
Albania,2010,Changes in stocks (petajoules),0
Albania,2013,Changes in stocks (petajoules),10
Albania,2014,Changes in stocks (petajoules),13
Albania,2015,Changes in stocks (petajoules),6
Albania,1990,Total supply (petajoules),92
Albania,1995,Total supply (petajoules),47
Albania,2000,Total supply (petajoules),65
Albania,2005,Total supply (petajoules),91
Albania,2010,Total supply (petajoules),91
Albania,2013,Total supply (petajoules),102
Albania,2014,Total supply (petajoules),103
Albania,2015,Total supply (petajoules),92
Albania,1990,Supply per capita (gigajoules),28
Albania,1995,Supply per capita (gigajoules),15
Albania,2000,Supply per capita (gigajoules),21
Albania,2005,Supply per capita (gigajoules),29
Albania,2010,Supply per capita (gigajoules),31
Albania,2013,Supply per capita (gigajoules),35
Albania,2014,Supply per capita (gigajoules),36
Albania,2015,Supply per capita (gigajoules),32
Algeria,1990,Primary energy production (petajoules),4380
Algeria,1995,Primary energy production (petajoules),4748
Algeria,2000,Primary energy production (petajoules),6556
Algeria,2005,Primary energy production (petajoules),7534
Algeria,2010,Primary energy production (petajoules),6200
Algeria,2013,Primary energy production (petajoules),5676
Algeria,2014,Primary energy production (petajoules),5900
Algeria,2015,Primary energy production (petajoules),5883
Algeria,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-3263
Algeria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3485
Algeria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-5414
Algeria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-5952
Algeria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-4551
Algeria,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-3714
Algeria,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-3732
Algeria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-3694
Algeria,1990,Changes in stocks (petajoules),41
Algeria,1995,Changes in stocks (petajoules),-8
Algeria,2000,Changes in stocks (petajoules),-27
Algeria,2005,Changes in stocks (petajoules),0
Algeria,2010,Changes in stocks (petajoules),9
Algeria,2013,Changes in stocks (petajoules),3
Algeria,2014,Changes in stocks (petajoules),44
Algeria,2015,Changes in stocks (petajoules),-33
Algeria,1990,Total supply (petajoules),1075
Algeria,1995,Total supply (petajoules),1270
Algeria,2000,Total supply (petajoules),1170
Algeria,2005,Total supply (petajoules),1583
Algeria,2010,Total supply (petajoules),1641
Algeria,2013,Total supply (petajoules),1959
Algeria,2014,Total supply (petajoules),2123
Algeria,2015,Total supply (petajoules),2221
Algeria,1990,Supply per capita (gigajoules),43
Algeria,1995,Supply per capita (gigajoules),45
Algeria,2000,Supply per capita (gigajoules),38
Algeria,2005,Supply per capita (gigajoules),48
Algeria,2010,Supply per capita (gigajoules),46
Algeria,2013,Supply per capita (gigajoules),51
Algeria,2014,Supply per capita (gigajoules),55
Algeria,2015,Supply per capita (gigajoules),56
Andorra,1990,Primary energy production (petajoules),0
Andorra,1995,Primary energy production (petajoules),0
Andorra,2000,Primary energy production (petajoules),0
Andorra,2005,Primary energy production (petajoules),0
Andorra,2010,Primary energy production (petajoules),1
Andorra,2013,Primary energy production (petajoules),1
Andorra,2014,Primary energy production (petajoules),1
Andorra,2015,Primary energy production (petajoules),1
Andorra,1990,Net imports [Imports - Exports - Bunkers] (petajoules),6
Andorra,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
Andorra,2000,Net imports [Imports - Exports - Bunkers] (petajoules),9
Andorra,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10
Andorra,2010,Net imports [Imports - Exports - Bunkers] (petajoules),9
Andorra,2013,Net imports [Imports - Exports - Bunkers] (petajoules),8
Andorra,2014,Net imports [Imports - Exports - Bunkers] (petajoules),8
Andorra,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
Andorra,1990,Total supply (petajoules),7
Andorra,1995,Total supply (petajoules),7
Andorra,2000,Total supply (petajoules),9
Andorra,2005,Total supply (petajoules),10
Andorra,2010,Total supply (petajoules),10
Andorra,2013,Total supply (petajoules),9
Andorra,2014,Total supply (petajoules),9
Andorra,2015,Total supply (petajoules),9
Andorra,1990,Supply per capita (gigajoules),130
Andorra,1995,Supply per capita (gigajoules),111
Andorra,2000,Supply per capita (gigajoules),138
Andorra,2005,Supply per capita (gigajoules),130
Andorra,2010,Supply per capita (gigajoules),114
Andorra,2013,Supply per capita (gigajoules),118
Andorra,2014,Supply per capita (gigajoules),119
Andorra,2015,Supply per capita (gigajoules),124
Angola,1990,Primary energy production (petajoules),1198
Angola,1995,Primary energy production (petajoules),1585
Angola,2000,Primary energy production (petajoules),1803
Angola,2005,Primary energy production (petajoules),2934
Angola,2010,Primary energy production (petajoules),4057
Angola,2013,Primary energy production (petajoules),4001
Angola,2014,Primary energy production (petajoules),3902
Angola,2015,Primary energy production (petajoules),4137
Angola,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-960
Angola,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-1224
Angola,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1475
Angola,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-2565
Angola,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-3547
Angola,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-3421
Angola,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-3280
Angola,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-3534
Angola,1995,Changes in stocks (petajoules),17
Angola,2000,Changes in stocks (petajoules),21
Angola,2005,Changes in stocks (petajoules),5
Angola,2010,Changes in stocks (petajoules),1
Angola,2013,Changes in stocks (petajoules),0
Angola,2014,Changes in stocks (petajoules),8
Angola,2015,Changes in stocks (petajoules),1
Angola,1990,Total supply (petajoules),238
Angola,1995,Total supply (petajoules),343
Angola,2000,Total supply (petajoules),308
Angola,2005,Total supply (petajoules),363
Angola,2010,Total supply (petajoules),509
Angola,2013,Total supply (petajoules),581
Angola,2014,Total supply (petajoules),613
Angola,2015,Total supply (petajoules),602
Angola,1990,Supply per capita (gigajoules),23
Angola,1995,Supply per capita (gigajoules),28
Angola,2000,Supply per capita (gigajoules),22
Angola,2005,Supply per capita (gigajoules),22
Angola,2010,Supply per capita (gigajoules),24
Angola,2013,Supply per capita (gigajoules),25
Angola,2014,Supply per capita (gigajoules),25
Angola,2015,Supply per capita (gigajoules),24
Anguilla,1990,Primary energy production (petajoules),0
Anguilla,1995,Primary energy production (petajoules),0
Anguilla,2000,Primary energy production (petajoules),0
Anguilla,2005,Primary energy production (petajoules),0
Anguilla,2010,Primary energy production (petajoules),0
Anguilla,2013,Primary energy production (petajoules),0
Anguilla,2014,Primary energy production (petajoules),0
Anguilla,2015,Primary energy production (petajoules),0
Anguilla,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
Anguilla,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Anguilla,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Anguilla,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla,2013,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla,2014,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla,1990,Total supply (petajoules),1
Anguilla,1995,Total supply (petajoules),1
Anguilla,2000,Total supply (petajoules),1
Anguilla,2005,Total supply (petajoules),2
Anguilla,2010,Total supply (petajoules),2
Anguilla,2013,Total supply (petajoules),2
Anguilla,2014,Total supply (petajoules),2
Anguilla,2015,Total supply (petajoules),2
Anguilla,1990,Supply per capita (gigajoules),87
Anguilla,1995,Supply per capita (gigajoules),94
Anguilla,2000,Supply per capita (gigajoules),117
Anguilla,2005,Supply per capita (gigajoules),132
Anguilla,2010,Supply per capita (gigajoules),155
Anguilla,2013,Supply per capita (gigajoules),118
Anguilla,2014,Supply per capita (gigajoules),136
Anguilla,2015,Supply per capita (gigajoules),151
Antigua and Barbuda,2010,Primary energy production (petajoules),0
Antigua and Barbuda,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
Antigua and Barbuda,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
Antigua and Barbuda,2000,Net imports [Imports - Exports - Bunkers] (petajoules),5
Antigua and Barbuda,2005,Net imports [Imports - Exports - Bunkers] (petajoules),7
Antigua and Barbuda,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8
Antigua and Barbuda,2013,Net imports [Imports - Exports - Bunkers] (petajoules),8
Antigua and Barbuda,2014,Net imports [Imports - Exports - Bunkers] (petajoules),8
Antigua and Barbuda,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
Antigua and Barbuda,1990,Total supply (petajoules),4
Antigua and Barbuda,1995,Total supply (petajoules),4
Antigua and Barbuda,2000,Total supply (petajoules),5
Antigua and Barbuda,2005,Total supply (petajoules),6
Antigua and Barbuda,2010,Total supply (petajoules),8
Antigua and Barbuda,2013,Total supply (petajoules),8
Antigua and Barbuda,2014,Total supply (petajoules),8
Antigua and Barbuda,2015,Total supply (petajoules),8
Antigua and Barbuda,1990,Supply per capita (gigajoules),68
Antigua and Barbuda,1995,Supply per capita (gigajoules),60
Antigua and Barbuda,2000,Supply per capita (gigajoules),65
Antigua and Barbuda,2005,Supply per capita (gigajoules),75
Antigua and Barbuda,2010,Supply per capita (gigajoules),86
Antigua and Barbuda,2013,Supply per capita (gigajoules),84
Antigua and Barbuda,2014,Supply per capita (gigajoules),84
Antigua and Barbuda,2015,Supply per capita (gigajoules),85
Argentina,1990,Primary energy production (petajoules),2064
Argentina,1995,Primary energy production (petajoules),2722
Argentina,2000,Primary energy production (petajoules),3404
Argentina,2005,Primary energy production (petajoules),3609
Argentina,2010,Primary energy production (petajoules),3343
Argentina,2013,Primary energy production (petajoules),2981
Argentina,2014,Primary energy production (petajoules),3065
Argentina,2015,Primary energy production (petajoules),3100
Argentina,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-144
Argentina,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-535
Argentina,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-866
Argentina,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-683
Argentina,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-21
Argentina,2013,Net imports [Imports - Exports - Bunkers] (petajoules),403
Argentina,2014,Net imports [Imports - Exports - Bunkers] (petajoules),460
Argentina,2015,Net imports [Imports - Exports - Bunkers] (petajoules),497
Argentina,1990,Changes in stocks (petajoules),-8
Argentina,1995,Changes in stocks (petajoules),-6
Argentina,2000,Changes in stocks (petajoules),-17
Argentina,2005,Changes in stocks (petajoules),8
Argentina,2010,Changes in stocks (petajoules),16
Argentina,2013,Changes in stocks (petajoules),4
Argentina,2014,Changes in stocks (petajoules),6
