Column1,Country,Year,Series,Value
North America2014,North America,2014,Primary energy production (petajoules),114238
North America2015,North America,2015,Primary energy production (petajoules),114073
North America1990,North America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),7789
North America1995,North America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),9145
North America2000,North America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),15610
North America2005,North America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),20179
North America2010,North America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),12979
North America2013,North America,2013,Net imports [Imports - Exports - Bunkers] (petajoules),3474
North America2014,North America,2014,Net imports [Imports - Exports - Bunkers] (petajoules),1510
North America2015,North America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1441
North America1990,North America,1990,Changes in stocks (petajoules),1783
North America1995,North America,1995,Changes in stocks (petajoules),-922
North America2000,North America,2000,Changes in stocks (petajoules),-2221
North America2005,North America,2005,Changes in stocks (petajoules),-124
North America2010,North America,2010,Changes in stocks (petajoules),-602
North America2013,North America,2013,Changes in stocks (petajoules),-1541
North America2014,North America,2014,Changes in stocks (petajoules),903
North America2015,North America,2015,Changes in stocks (petajoules),2067
North America1990,North America,1990,Total supply (petajoules),95470
North America1995,North America,1995,Total supply (petajoules),103366
North America2000,North America,2000,Total supply (petajoules),114038
North America2005,North America,2005,Total supply (petajoules),118213
North America2010,North America,2010,Total supply (petajoules),113796
North America2013,North America,2013,Total supply (petajoules),112882
North America2014,North America,2014,Total supply (petajoules),114844
North America2015,North America,2015,Total supply (petajoules),113447
North America1990,North America,1990,Supply per capita (gigajoules),223
North America1995,North America,1995,Supply per capita (gigajoules),226
North America2000,North America,2000,Supply per capita (gigajoules),234
North America2005,North America,2005,Supply per capita (gigajoules),230
North America2010,North America,2010,Supply per capita (gigajoules),208
North America2013,North America,2013,Supply per capita (gigajoules),200
North America2014,North America,2014,Supply per capita (gigajoules),202
North America2015,North America,2015,Supply per capita (gigajoules),198
South America1990,South America,1990,Primary energy production (petajoules),16259
South America1995,South America,1995,Primary energy production (petajoules),20317
South America2000,South America,2000,Primary energy production (petajoules),24080
South America2005,South America,2005,Primary energy production (petajoules),26630
South America2010,South America,2010,Primary energy production (petajoules),29391
South America2013,South America,2013,Primary energy production (petajoules),30966
South America2014,South America,2014,Primary energy production (petajoules),31216
South America2015,South America,2015,Primary energy production (petajoules),31660
South America1990,South America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-3752
South America1995,South America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-5789
South America2000,South America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-7316
South America2005,South America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-8057
South America2010,South America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-7250
South America2013,South America,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-7213
South America2014,South America,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-6780
South America2015,South America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-7861
South America1990,South America,1990,Changes in stocks (petajoules),86
South America1995,South America,1995,Changes in stocks (petajoules),-6
South America2000,South America,2000,Changes in stocks (petajoules),-13
South America2005,South America,2005,Changes in stocks (petajoules),-323
South America2010,South America,2010,Changes in stocks (petajoules),-64
South America2013,South America,2013,Changes in stocks (petajoules),9
South America2014,South America,2014,Changes in stocks (petajoules),150
South America2015,South America,2015,Changes in stocks (petajoules),-63
South America1990,South America,1990,Total supply (petajoules),12420
South America1995,South America,1995,Total supply (petajoules),14534
South America2000,South America,2000,Total supply (petajoules),16776
South America2005,South America,2005,Total supply (petajoules),18897
South America2010,South America,2010,Total supply (petajoules),22206
South America2013,South America,2013,Total supply (petajoules),23743
South America2014,South America,2014,Total supply (petajoules),24284
South America2015,South America,2015,Total supply (petajoules),23862
South America1990,South America,1990,Supply per capita (gigajoules),42
South America1995,South America,1995,Supply per capita (gigajoules),45
South America2000,South America,2000,Supply per capita (gigajoules),48
South America2005,South America,2005,Supply per capita (gigajoules),51
South America2010,South America,2010,Supply per capita (gigajoules),56
South America2013,South America,2013,Supply per capita (gigajoules),58
South America2014,South America,2014,Supply per capita (gigajoules),59
South America2015,South America,2015,Supply per capita (gigajoules),57
Asia1990,Asia,1990,Primary energy production (petajoules),103897
Asia1995,Asia,1995,Primary energy production (petajoules),129663
Asia2000,Asia,2000,Primary energy production (petajoules),145546
Asia2005,Asia,2005,Primary energy production (petajoules),192204
Asia2010,Asia,2010,Primary energy production (petajoules),236026
Asia2013,Asia,2013,Primary energy production (petajoules),257286
Asia2014,Asia,2014,Primary energy production (petajoules),259212
Asia2015,Asia,2015,Primary energy production (petajoules),263383
Asia1990,Asia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-11565
Asia1995,Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-8920
Asia2000,Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-9710
Asia2005,Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-9662
Asia2010,Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),227
Asia2013,Asia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),3458
Asia2014,Asia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),7087
Asia2015,Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7871
Asia1990,Asia,1990,Changes in stocks (petajoules),1712
Asia1995,Asia,1995,Changes in stocks (petajoules),604
Asia2000,Asia,2000,Changes in stocks (petajoules),-739
Asia2005,Asia,2005,Changes in stocks (petajoules),-398
Asia2010,Asia,2010,Changes in stocks (petajoules),1615
Asia2013,Asia,2013,Changes in stocks (petajoules),1779
Asia2014,Asia,2014,Changes in stocks (petajoules),1400
Asia2015,Asia,2015,Changes in stocks (petajoules),130
Asia1990,Asia,1990,Total supply (petajoules),90620
Asia1995,Asia,1995,Total supply (petajoules),120140
Asia2000,Asia,2000,Total supply (petajoules),136575
Asia2005,Asia,2005,Total supply (petajoules),182940
Asia2010,Asia,2010,Total supply (petajoules),234638
Asia2013,Asia,2013,Total supply (petajoules),258965
Asia2014,Asia,2014,Total supply (petajoules),264900
Asia2015,Asia,2015,Total supply (petajoules),271125
Asia1990,Asia,1990,Supply per capita (gigajoules),29
Asia1995,Asia,1995,Supply per capita (gigajoules),35
Asia2000,Asia,2000,Supply per capita (gigajoules),37
Asia2005,Asia,2005,Supply per capita (gigajoules),46
Asia2010,Asia,2010,Supply per capita (gigajoules),56
Asia2013,Asia,2013,Supply per capita (gigajoules),60
Asia2014,Asia,2014,Supply per capita (gigajoules),61
Asia2015,Asia,2015,Supply per capita (gigajoules),62
Europe1990,Europe,1990,Primary energy production (petajoules),112829
Europe1995,Europe,1995,Primary energy production (petajoules),93292
Europe2000,Europe,2000,Primary energy production (petajoules),94623
Europe2005,Europe,2005,Primary energy production (petajoules),102546
Europe2010,Europe,2010,Primary energy production (petajoules),102514
Europe2013,Europe,2013,Primary energy production (petajoules),102582
Europe2014,Europe,2014,Primary energy production (petajoules),100943
Europe2015,Europe,2015,Primary energy production (petajoules),101099
Europe1990,Europe,1990,Net imports [Imports - Exports - Bunkers] (petajoules),15404
Europe1995,Europe,1995,Net imports [Imports - Exports - Bunkers] (petajoules),13521
Europe2000,Europe,2000,Net imports [Imports - Exports - Bunkers] (petajoules),12271
Europe2005,Europe,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10782
Europe2010,Europe,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8107
Europe2013,Europe,2013,Net imports [Imports - Exports - Bunkers] (petajoules),5624
Europe2014,Europe,2014,Net imports [Imports - Exports - Bunkers] (petajoules),4654
Europe2015,Europe,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3836
Europe1990,Europe,1990,Changes in stocks (petajoules),366
Europe1995,Europe,1995,Changes in stocks (petajoules),94
Europe2000,Europe,2000,Changes in stocks (petajoules),245
Europe2005,Europe,2005,Changes in stocks (petajoules),582
Europe2010,Europe,2010,Changes in stocks (petajoules),-1154
Europe2013,Europe,2013,Changes in stocks (petajoules),20
Europe2014,Europe,2014,Changes in stocks (petajoules),452
Europe2015,Europe,2015,Changes in stocks (petajoules),308
Europe1990,Europe,1990,Total supply (petajoules),127865
Europe1995,Europe,1995,Total supply (petajoules),106719
Europe2000,Europe,2000,Total supply (petajoules),106649
Europe2005,Europe,2005,Total supply (petajoules),112746
Europe2010,Europe,2010,Total supply (petajoules),111775
Europe2013,Europe,2013,Total supply (petajoules),108186
Europe2014,Europe,2014,Total supply (petajoules),105145
Europe2015,Europe,2015,Total supply (petajoules),104626
Europe1990,Europe,1990,Supply per capita (gigajoules),118
Europe1995,Europe,1995,Supply per capita (gigajoules),147
Europe2000,Europe,2000,Supply per capita (gigajoules),147
Europe2005,Europe,2005,Supply per capita (gigajoules),154
Europe2010,Europe,2010,Supply per capita (gigajoules),152
Europe2013,Europe,2013,Supply per capita (gigajoules),147
Europe2014,Europe,2014,Supply per capita (gigajoules),142
Europe2015,Europe,2015,Supply per capita (gigajoules),141
Oceania1990,Oceania,1990,Primary energy production (petajoules),7314
Oceania1995,Oceania,1995,Primary energy production (petajoules),8611
Oceania2000,Oceania,2000,Primary energy production (petajoules),10598
Oceania2005,Oceania,2005,Primary energy production (petajoules),12214
Oceania2010,Oceania,2010,Primary energy production (petajoules),14500
Oceania2013,Oceania,2013,Primary energy production (petajoules),15296
Oceania2014,Oceania,2014,Primary energy production (petajoules),16244
Oceania2015,Oceania,2015,Primary energy production (petajoules),16897
Oceania1990,Oceania,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2752
Oceania1995,Oceania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3785
Oceania2000,Oceania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-5363
Oceania2005,Oceania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-6518
Oceania2010,Oceania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-7707
Oceania2013,Oceania,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-8679
Oceania2014,Oceania,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-9728
Oceania2015,Oceania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-10320
Oceania1990,Oceania,1990,Changes in stocks (petajoules),203
Oceania1995,Oceania,1995,Changes in stocks (petajoules),103
Oceania2000,Oceania,2000,Changes in stocks (petajoules),-233
Oceania2005,Oceania,2005,Changes in stocks (petajoules),-37
Oceania2010,Oceania,2010,Changes in stocks (petajoules),280
Oceania2013,Oceania,2013,Changes in stocks (petajoules),155
Oceania2014,Oceania,2014,Changes in stocks (petajoules),48
Oceania2015,Oceania,2015,Changes in stocks (petajoules),71
Oceania1990,Oceania,1990,Total supply (petajoules),4358
Oceania1995,Oceania,1995,Total supply (petajoules),4723
Oceania2000,Oceania,2000,Total supply (petajoules),5468
Oceania2005,Oceania,2005,Total supply (petajoules),5731
Oceania2010,Oceania,2010,Total supply (petajoules),6511
Oceania2013,Oceania,2013,Total supply (petajoules),6463
Oceania2014,Oceania,2014,Total supply (petajoules),6469
Oceania2015,Oceania,2015,Total supply (petajoules),6506
Oceania1990,Oceania,1990,Supply per capita (gigajoules),160
Oceania1995,Oceania,1995,Supply per capita (gigajoules),163
Oceania2000,Oceania,2000,Supply per capita (gigajoules),176
Oceania2005,Oceania,2005,Supply per capita (gigajoules),171
Oceania2010,Oceania,2010,Supply per capita (gigajoules),179
Oceania2013,Oceania,2013,Supply per capita (gigajoules),169
Oceania2014,Oceania,2014,Supply per capita (gigajoules),167
Oceania2015,Oceania,2015,Supply per capita (gigajoules),165
Afghanistan1990,Afghanistan,1990,Primary energy production (petajoules),19
Afghanistan1995,Afghanistan,1995,Primary energy production (petajoules),16
Afghanistan2000,Afghanistan,2000,Primary energy production (petajoules),18
Afghanistan2005,Afghanistan,2005,Primary energy production (petajoules),23
Afghanistan2010,Afghanistan,2010,Primary energy production (petajoules),41
Afghanistan2013,Afghanistan,2013,Primary energy production (petajoules),59
Afghanistan2014,Afghanistan,2014,Primary energy production (petajoules),63
Afghanistan2015,Afghanistan,2015,Primary energy production (petajoules),60
Afghanistan1990,Afghanistan,1990,Net imports [Imports - Exports - Bunkers] (petajoules),28
Afghanistan1995,Afghanistan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),13
Afghanistan2000,Afghanistan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),8
Afghanistan2005,Afghanistan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),14
Afghanistan2010,Afghanistan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),96
Afghanistan2013,Afghanistan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),87
Afghanistan2014,Afghanistan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),72
Afghanistan2015,Afghanistan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),85
Afghanistan1990,Afghanistan,1990,Changes in stocks (petajoules),0
Afghanistan1995,Afghanistan,1995,Changes in stocks (petajoules),0
Afghanistan2000,Afghanistan,2000,Changes in stocks (petajoules),0
Afghanistan1990,Afghanistan,1990,Total supply (petajoules),46
Afghanistan1995,Afghanistan,1995,Total supply (petajoules),29
Afghanistan2000,Afghanistan,2000,Total supply (petajoules),25
Afghanistan2005,Afghanistan,2005,Total supply (petajoules),36
Afghanistan2010,Afghanistan,2010,Total supply (petajoules),137
Afghanistan2013,Afghanistan,2013,Total supply (petajoules),145
Afghanistan2014,Afghanistan,2014,Total supply (petajoules),135
Afghanistan2015,Afghanistan,2015,Total supply (petajoules),145
Afghanistan1990,Afghanistan,1990,Supply per capita (gigajoules),4
Afghanistan1995,Afghanistan,1995,Supply per capita (gigajoules),1
Afghanistan2000,Afghanistan,2000,Supply per capita (gigajoules),1
Afghanistan2005,Afghanistan,2005,Supply per capita (gigajoules),1
Afghanistan2010,Afghanistan,2010,Supply per capita (gigajoules),5
Afghanistan2013,Afghanistan,2013,Supply per capita (gigajoules),5
Afghanistan2014,Afghanistan,2014,Supply per capita (gigajoules),4
Afghanistan2015,Afghanistan,2015,Supply per capita (gigajoules),4
Albania1990,Albania,1990,Primary energy production (petajoules),99
Albania1995,Albania,1995,Primary energy production (petajoules),43
Albania2000,Albania,2000,Primary energy production (petajoules),34
Albania2005,Albania,2005,Primary energy production (petajoules),48
Albania2010,Albania,2010,Primary energy production (petajoules),69
Albania2013,Albania,2013,Primary energy production (petajoules),85
Albania2014,Albania,2014,Primary energy production (petajoules),84
Albania2015,Albania,2015,Primary energy production (petajoules),87
Albania1990,Albania,1990,Net imports [Imports - Exports - Bunkers] (petajoules),15
Albania1995,Albania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
Albania2000,Albania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),31
Albania2005,Albania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),43
Albania2010,Albania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),22
Albania2013,Albania,2013,Net imports [Imports - Exports - Bunkers] (petajoules),27
Albania2014,Albania,2014,Net imports [Imports - Exports - Bunkers] (petajoules),33
Albania2015,Albania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),10
Albania1990,Albania,1990,Changes in stocks (petajoules),23
Albania1995,Albania,1995,Changes in stocks (petajoules),0
Albania2005,Albania,2005,Changes in stocks (petajoules),0
Albania2010,Albania,2010,Changes in stocks (petajoules),0
Albania2013,Albania,2013,Changes in stocks (petajoules),10
Albania2014,Albania,2014,Changes in stocks (petajoules),13
Albania2015,Albania,2015,Changes in stocks (petajoules),6
Albania1990,Albania,1990,Total supply (petajoules),92
Albania1995,Albania,1995,Total supply (petajoules),47
Albania2000,Albania,2000,Total supply (petajoules),65
Albania2005,Albania,2005,Total supply (petajoules),91
Albania2010,Albania,2010,Total supply (petajoules),91
Albania2013,Albania,2013,Total supply (petajoules),102
Albania2014,Albania,2014,Total supply (petajoules),103
Albania2015,Albania,2015,Total supply (petajoules),92
Albania1990,Albania,1990,Supply per capita (gigajoules),28
Albania1995,Albania,1995,Supply per capita (gigajoules),15
Albania2000,Albania,2000,Supply per capita (gigajoules),21
Albania2005,Albania,2005,Supply per capita (gigajoules),29
Albania2010,Albania,2010,Supply per capita (gigajoules),31
Albania2013,Albania,2013,Supply per capita (gigajoules),35
Albania2014,Albania,2014,Supply per capita (gigajoules),36
Albania2015,Albania,2015,Supply per capita (gigajoules),32
Algeria1990,Algeria,1990,Primary energy production (petajoules),4380
Algeria1995,Algeria,1995,Primary energy production (petajoules),4748
Algeria2000,Algeria,2000,Primary energy production (petajoules),6556
Algeria2005,Algeria,2005,Primary energy production (petajoules),7534
Algeria2010,Algeria,2010,Primary energy production (petajoules),6200
Algeria2013,Algeria,2013,Primary energy production (petajoules),5676
Algeria2014,Algeria,2014,Primary energy production (petajoules),5900
Algeria2015,Algeria,2015,Primary energy production (petajoules),5883
Algeria1990,Algeria,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-3263
Algeria1995,Algeria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3485
Algeria2000,Algeria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-5414
Algeria2005,Algeria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-5952
Algeria2010,Algeria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-4551
Algeria2013,Algeria,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-3714
Algeria2014,Algeria,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-3732
Algeria2015,Algeria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-3694
Algeria1990,Algeria,1990,Changes in stocks (petajoules),41
Algeria1995,Algeria,1995,Changes in stocks (petajoules),-8
Algeria2000,Algeria,2000,Changes in stocks (petajoules),-27
Algeria2005,Algeria,2005,Changes in stocks (petajoules),0
Algeria2010,Algeria,2010,Changes in stocks (petajoules),9
Algeria2013,Algeria,2013,Changes in stocks (petajoules),3
Algeria2014,Algeria,2014,Changes in stocks (petajoules),44
Algeria2015,Algeria,2015,Changes in stocks (petajoules),-33
Algeria1990,Algeria,1990,Total supply (petajoules),1075
Algeria1995,Algeria,1995,Total supply (petajoules),1270
Algeria2000,Algeria,2000,Total supply (petajoules),1170
Algeria2005,Algeria,2005,Total supply (petajoules),1583
Algeria2010,Algeria,2010,Total supply (petajoules),1641
Algeria2013,Algeria,2013,Total supply (petajoules),1959
Algeria2014,Algeria,2014,Total supply (petajoules),2123
Algeria2015,Algeria,2015,Total supply (petajoules),2221
Algeria1990,Algeria,1990,Supply per capita (gigajoules),43
Algeria1995,Algeria,1995,Supply per capita (gigajoules),45
Algeria2000,Algeria,2000,Supply per capita (gigajoules),38
Algeria2005,Algeria,2005,Supply per capita (gigajoules),48
Algeria2010,Algeria,2010,Supply per capita (gigajoules),46
Algeria2013,Algeria,2013,Supply per capita (gigajoules),51
Algeria2014,Algeria,2014,Supply per capita (gigajoules),55
Algeria2015,Algeria,2015,Supply per capita (gigajoules),56
Andorra1990,Andorra,1990,Primary energy production (petajoules),0
Andorra1995,Andorra,1995,Primary energy production (petajoules),0
Andorra2000,Andorra,2000,Primary energy production (petajoules),0
Andorra2005,Andorra,2005,Primary energy production (petajoules),0
Andorra2010,Andorra,2010,Primary energy production (petajoules),1
Andorra2013,Andorra,2013,Primary energy production (petajoules),1
Andorra2014,Andorra,2014,Primary energy production (petajoules),1
Andorra2015,Andorra,2015,Primary energy production (petajoules),1
Andorra1990,Andorra,1990,Net imports [Imports - Exports - Bunkers] (petajoules),6
Andorra1995,Andorra,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
Andorra2000,Andorra,2000,Net imports [Imports - Exports - Bunkers] (petajoules),9
Andorra2005,Andorra,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10
Andorra2010,Andorra,2010,Net imports [Imports - Exports - Bunkers] (petajoules),9
Andorra2013,Andorra,2013,Net imports [Imports - Exports - Bunkers] (petajoules),8
Andorra2014,Andorra,2014,Net imports [Imports - Exports - Bunkers] (petajoules),8
Andorra2015,Andorra,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
Andorra1990,Andorra,1990,Total supply (petajoules),7
Andorra1995,Andorra,1995,Total supply (petajoules),7
Andorra2000,Andorra,2000,Total supply (petajoules),9
Andorra2005,Andorra,2005,Total supply (petajoules),10
Andorra2010,Andorra,2010,Total supply (petajoules),10
Andorra2013,Andorra,2013,Total supply (petajoules),9
Andorra2014,Andorra,2014,Total supply (petajoules),9
Andorra2015,Andorra,2015,Total supply (petajoules),9
Andorra1990,Andorra,1990,Supply per capita (gigajoules),130
Andorra1995,Andorra,1995,Supply per capita (gigajoules),111
Andorra2000,Andorra,2000,Supply per capita (gigajoules),138
Andorra2005,Andorra,2005,Supply per capita (gigajoules),130
Andorra2010,Andorra,2010,Supply per capita (gigajoules),114
Andorra2013,Andorra,2013,Supply per capita (gigajoules),118
Andorra2014,Andorra,2014,Supply per capita (gigajoules),119
Andorra2015,Andorra,2015,Supply per capita (gigajoules),124
Angola1990,Angola,1990,Primary energy production (petajoules),1198
Angola1995,Angola,1995,Primary energy production (petajoules),1585
Angola2000,Angola,2000,Primary energy production (petajoules),1803
Angola2005,Angola,2005,Primary energy production (petajoules),2934
Angola2010,Angola,2010,Primary energy production (petajoules),4057
Angola2013,Angola,2013,Primary energy production (petajoules),4001
Angola2014,Angola,2014,Primary energy production (petajoules),3902
Angola2015,Angola,2015,Primary energy production (petajoules),4137
Angola1990,Angola,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-960
